model,seed,temperature_K,n,target,r2
IDP-ESM2-8M,93,288,1025,a0,0.47096705436706543
IDP-ESM2-8M,93,300,1025,rg,0.41338926553726196
IDP-ESM2-8M,93,300,1025,ree,0.4027327299118042
IDP-ESM2-8M,93,300,1025,nu,0.4737933874130249
IDP-ESM2-8M,93,300,1025,delta,0.4757581353187561
IDP-ESM2-8M,93,300,1025,a0,0.3304983377456665
IDP-ESM2-8M,93,310,1025,rg,0.8879168033599854
IDP-ESM2-8M,93,310,1025,ree,0.8749837875366211
IDP-ESM2-8M,93,310,1025,nu,0.726852536201477
IDP-ESM2-8M,93,310,1025,delta,0.7432115077972412
IDP-ESM2-8M,93,310,1025,a0,0.47919762134552
IDP-ESM2-8M,93,320,1025,rg,0.795468807220459
IDP-ESM2-8M,93,320,1025,ree,0.7852067351341248
IDP-ESM2-8M,93,320,1025,nu,0.7039517164230347
IDP-ESM2-8M,93,320,1025,delta,0.7271537780761719
IDP-ESM2-8M,93,320,1025,a0,0.4570155739784241
